"Jerry McLaughlin","CEO & Category Entrepreneur","https://www.linkedin.com/profile/view?id=10691"
"Ligaya Tichy","Community Builder; Startup Enthusiast; Angel Investor","https://www.linkedin.com/profile/view?id=4225271"
"Arvin Setiawan","Investor, Entrepreneur, Small business, Growth-focused marketer","https://www.linkedin.com/profile/view?id=5909336"
"","",""
"Craig Walsey","Business Development","https://www.linkedin.com/profile/view?id=5930593"
"Julio Deulofeu","Active investor at Nextsport","https://www.linkedin.com/profile/view?id=9176749"
"Marcus Anzengruber, CEO & Co-founder @ Campanja","We bring SEM heavyweights 20%+ efficiency thru better modeling and bid optimization","https://www.linkedin.com/profile/view?id=9639441"
"Niles Lichtenstein","Digital and Mobile Technology Expert and Entrepreneur","https://www.linkedin.com/profile/view?id=11679785"
"Emil Babadjov","CEO of LeadSecure Inc. Evolution of Real Estate Lead Optimization","https://www.linkedin.com/profile/view?id=12502221"
"Avi Brown","Chief Digital Officer at Extreme Reach | Building the Bridge Between Silicon Valley and Madison Avenue","https://www.linkedin.com/profile/view?id=21789448"
"Darin Alpert","Launched an app, Mark Cuban invested, grew to 2,000,000 users, sold company.","https://www.linkedin.com/profile/view?id=49045297"
